conversion_rate,occupation,Id,business,Market_Rank,Biz_Street_Number_and_Name,Alt_BizPhone,Search_Location,Enriched_by,Date_Prospected,Prospected_by,Google_Search_Link,Stand_Alone_Website,Google_Search_Side_Profile__Y_N_,Google___of_Reviews,Google_Avg_Rating,Google_Lastest_Review__XXX_months_ago_,Angie_s_Search_Link,Angi_s_Profile_Link,Angi_s___of_Reviews,Angi_s_Avg_Rating,Angi_Lastest_Review_Date,Home_Advisor_Search_Link,HA_Profile_Link,HA___of_Reviews,HA_Avg_Rating,HA_Lastest_Review_Date,Yelp_Search_Link,Yelp_Profile_Link,Yelp___of_Reviews,Yelp___of_Reviews__that_are_not_recommended_,Yelp_Avg_Rating,Yelp__Lastest_Review_Date,Facebook_Search_Link,FB_URL,FB___of_Reviews,FB_Avg_Rating,FB_Latest_Review_Date,FB_Page_Likes,FB_Page_Follows,Instagram_Search_Link,IG_URL,IG_Follows,Month_Released,Occurence_in_MHF__Last_5_mos_,Month,Category,State,City,PostalCode,Phone,Email,DateAdded,sales_outcome,sales_outcome_date_mt,outcome_number_of_attempts,lead_status,lead_number_of_attempts,lead_converted_time,opportunity_id,opportunity_stage,opp_lead_pro_user_pk
0.0349,Cleaner,00Q3q00001T5Be6EAF,Lemon Cleaning,,"Sacramento , CA",,Yelp,Sheryl Reyes,3/31/2022,Sheryl Reyes,"www.google.com/search?q=Lemon Cleaning in Sacramento, CA",,true,2,1.0,12.0,"www.google.com/search?q=Lemon Cleaning in Sacramento, CA site:angi.com",,,,,"www.google.com/search?q=Lemon Cleaning in Sacramento, CA site:homeadvisor.com",,,,,"www.google.com/search?q=Lemon Cleaning in Sacramento, CA site:yelp.com",https://www.yelp.com/biz/lemon-cleaning-sacramento-3?osq=House+Cleaning+Services&sort_by=date_desc,135,25,4.0,2021-12-26,"www.google.com/search?q=Lemon Cleaning in Sacramento, CA site:facebook.com",,,,,,,"www.google.com/search?q=Lemon Cleaning Sacramento, CA Instagram",,,,,April 2022,House Cleaning,CA,Sacramento,95815,9163405811,,2022-04-22,Connection,2021-12-08,2,Unsuccessful,2,,,,329505395867213923
0.0428,Handyman,00Q3q00001aNwCWEA0,"Angulus Construction, Inc.",,"3023 SE Balfour St, Portland, OR",,HomeAdvisor,Ruby Rachel de Castro,3/16/2022,Ruby Rachel de Castro,"www.google.com/search?q=Angulus Construction, Inc. in Portland, OR",,true,,,,"www.google.com/search?q=Angulus Construction, Inc. in Portland, OR site:angi.com",,,,,"www.google.com/search?q=Angulus Construction, Inc. in Portland, OR site:homeadvisor.com",https://www.homeadvisor.com/sp/angulus-construction,,,,"www.google.com/search?q=Angulus Construction, Inc. in Portland, OR site:yelp.com",,,,,,"www.google.com/search?q=Angulus Construction, Inc. in Portland, OR site:facebook.com",,,,,,,"www.google.com/search?q=Angulus Construction, Inc. Portland, OR Instagram",,,,,April 2022,Door Installation,OR,Portland,97222,5037865013,,2022-04-22,Attempt,2022-04-13,1,Unsuccessful,1,,,,
0.0977,Roofer and Sider,00Q3q00001aQ2pBEAS,"SRS Roofing AZ, Inc.
",,"3260 North Hayden Road, Suite 210, Scottsdale, Arizona",,HomeAdvisor,Angela Pastidio,4/19/2022,Angela Pastidio,"www.google.com/search?q=SRS Roofing AZ, Inc.
 in Phoenix, AZ",https://srsroofingservices.com/,false,,,,"www.google.com/search?q=SRS Roofing AZ, Inc.
 in Phoenix, AZ site:angi.com",,,,,"www.google.com/search?q=SRS Roofing AZ, Inc.
 in Phoenix, AZ site:homeadvisor.com",https://www.homeadvisor.com/rated.SRSROOFING.82211616.html,6,5.0,2022-04-21,"www.google.com/search?q=SRS Roofing AZ, Inc.
 in Phoenix, AZ site:yelp.com",,,,,,"www.google.com/search?q=SRS Roofing AZ, Inc.
 in Phoenix, AZ site:facebook.com",,,,,,,"www.google.com/search?q=SRS Roofing AZ, Inc.
 Phoenix, AZ Instagram",,,,,April 2022,Roof Installation or Replacement,AZ,Phoenix,85251,6029350082,info@srsroofingservices.com,2022-04-22,Attempt,2022-06-05,1,Convert,1,2022-05-11T00:00:00Z,0063q000012vnM5AAI,Closed Lost,
0.0634,"Floor, Carpet, and Tile Specialist",00Q3q00001aOlT8EAK,"Toyo Can, Inc.",,"Tomahawk creek parkway
Leawood, KS",,HomeAdvisor,Sheryl Reyes,4/18/2022,Sheryl Reyes,"www.google.com/search?q=Toyo Can, Inc. in Overland Park, KS",https://toyocaninc.business.site/?utm_source=gmb&utm_medium=referral,false,,,,"www.google.com/search?q=Toyo Can, Inc. in Overland Park, KS site:angi.com",,,,,"www.google.com/search?q=Toyo Can, Inc. in Overland Park, KS site:homeadvisor.com",https://www.homeadvisor.com/rated.ToyocanInc.82737849.html,15,5.0,2022-03-25,"www.google.com/search?q=Toyo Can, Inc. in Overland Park, KS site:yelp.com",,,,,,"www.google.com/search?q=Toyo Can, Inc. in Overland Park, KS site:facebook.com",,,,,,,"www.google.com/search?q=Toyo Can, Inc. Overland Park, KS Instagram",https://www.instagram.com/toyocaninc/,116,,,May 2022,Floor Installation or Replacement,KS,Overland Park,66211,9132078460,,2022-05-06,Connection,2022-04-26,2,Unsuccessful,2,,,,
0.0412,Landscaper,00Q3q00001aQ3EXEA0,"FC Tree Service, LLC",,"1247 Gardena Avenue Northeast, Fridley, MN",,HomeAdvisor,Edcelle Marie Parreno,4/26/2022,Edcelle Marie Parreno,"www.google.com/search?q=FC Tree Service, LLC in Minneapolis, MN",https://fctreeservices.com/,true,3,5.0,0.5,"www.google.com/search?q=FC Tree Service, LLC in Minneapolis, MN site:angi.com",,,,,"www.google.com/search?q=FC Tree Service, LLC in Minneapolis, MN site:homeadvisor.com",https://www.homeadvisor.com/rated.FCTreeServiceLLC.117109901.html,,,,"www.google.com/search?q=FC Tree Service, LLC in Minneapolis, MN site:yelp.com",,,,,,"www.google.com/search?q=FC Tree Service, LLC in Minneapolis, MN site:facebook.com",https://www.facebook.com/fredycastro26/,,,,37,38,"www.google.com/search?q=FC Tree Service, LLC Minneapolis, MN Instagram",,,,,May 2022,Tree Trimming and Removal,MN,Minneapolis,55432,6129877329,,2022-05-06,Attempt,2022-06-01,5,Unsuccessful,5,,,,
0.0977,Roofer and Sider,00Q3q00001aQ38qEAC,Serv-Tech Roofing,,"14775 Southeast 82nd Drive Clackamas, OR",,HomeAdvisor,Edcelle Marie Parreno,5/4/2022,Edcelle Marie Parreno,"www.google.com/search?q=Serv-Tech Roofing in Hillsboro, OR",http://www.serv-tech.com/portland,true,9,5.0,0.5,"www.google.com/search?q=Serv-Tech Roofing in Hillsboro, OR site:angi.com",https://www.angi.com/companylist/us/or/clackamas/jimmy%E2%80%99s-roofing-reviews-9994287.htm,,,,"www.google.com/search?q=Serv-Tech Roofing in Hillsboro, OR site:homeadvisor.com",https://www.homeadvisor.com/rated.ServTechRoofing.122377278.html,4,4.4,2022-01-26,"www.google.com/search?q=Serv-Tech Roofing in Hillsboro, OR site:yelp.com",,,,,,"www.google.com/search?q=Serv-Tech Roofing in Hillsboro, OR site:facebook.com",https://www.facebook.com/JimmysRoofing,21,4.4,2020-09-08,943,974,"www.google.com/search?q=Serv-Tech Roofing Hillsboro, OR Instagram",,,,,May 2022,Roof Installation or Replacement,OR,Hillsboro,97015,5039660960,,2022-05-06,Connection,2022-05-11,1,Unsuccessful,1,,,,
0.0428,Handyman,00Q3q00001aPdgcEAC,San Diego Packing Movers,,"3899 Nobel Drive San Diego, CA",,HomeAdvisor,Nhejy Chua,5/11/2022,Nhejy Chua,"www.google.com/search?q=San Diego Packing Movers in San Diego, CA",https://sdpackingmovers.com/,false,,,,"www.google.com/search?q=San Diego Packing Movers in San Diego, CA site:angi.com",,,,,"www.google.com/search?q=San Diego Packing Movers in San Diego, CA site:homeadvisor.com",https://www.homeadvisor.com/rated.SANDIEGOPACKINGMOVERS.123054983.html,1,5.0,2022-02-06,"www.google.com/search?q=San Diego Packing Movers in San Diego, CA site:yelp.com",,,,,,"www.google.com/search?q=San Diego Packing Movers in San Diego, CA site:facebook.com",,,,,,,"www.google.com/search?q=San Diego Packing Movers San Diego, CA Instagram",,,,,May 2022,Handyman,CA,San Diego,92122,8585318343,info@sdpackingmovers.com,2022-05-13,Connection,2022-05-22,1,Unsuccessful,1,,,,
0.0886,HVAC Specialist,00Q3q00001YOc8PEAT,"Carolina Duct & Crawl, LLC",,"Concord, NC",,HomeAdvisor,Karla Bagalay,5/11/2022,Karla Bagalay,"www.google.com/search?q=Carolina Duct & Crawl, LLC in Charlotte, NC",https://www.concordmoldinspection.com/,true,147,4.1,0.5,"www.google.com/search?q=Carolina Duct & Crawl, LLC in Charlotte, NC site:angi.com",https://www.angi.com/companylist/us/nc/concord/carolina-duct-and-crawl-reviews-8984398.htm,15,3.8,2021-03-12,"www.google.com/search?q=Carolina Duct & Crawl, LLC in Charlotte, NC site:homeadvisor.com",https://www.homeadvisor.com/rated.CarolinaDuctCrawl.87184368.html,24,3.9,2022-04-07,"www.google.com/search?q=Carolina Duct & Crawl, LLC in Charlotte, NC site:yelp.com",https://www.yelp.com/biz/carolina-duct-and-crawl-concord-3,10,20,1.0,2022-04-28,"www.google.com/search?q=Carolina Duct & Crawl, LLC in Charlotte, NC site:facebook.com",https://www.facebook.com/Carolina-Duct-Crawl-LLC-1926386924340323/,39,3.6,2022-01-16,221,229,"www.google.com/search?q=Carolina Duct & Crawl, LLC Charlotte, NC Instagram",https://www.instagram.com/carolinaductcrawl/,52,,,May 2022,Duct and Vent Cleaning,NC,Charlotte,28025,7047274344,,2022-05-13,Connection,2022-05-24,1,Unsuccessful,1,,,,
0.0886,HVAC Specialist,00Q3q00001WXTDtEAP,"Caruso Heating & Air Conditioning, Inc.",,"98 MCNEILLY ROAD
PITTSBURGH, PA",,HomeAdvisor,Ruby Rachel de Castro,5/4/2022,Ruby Rachel de Castro,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. in Pittsburgh, PA",https://carusoac.com/contact-us/,true,11,4.5,12.0,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. in Pittsburgh, PA site:angi.com",,,,,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. in Pittsburgh, PA site:homeadvisor.com",https://www.homeadvisor.com/sp/caruso-heating-air-conditioning,1,5.0,2009-12-28,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. in Pittsburgh, PA site:yelp.com",,,,,,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. in Pittsburgh, PA site:facebook.com",https://www.facebook.com/Caruso-Heating-AC-Inc-131480743704000/,9,4.1,2021-07-09,126,130,"www.google.com/search?q=Caruso Heating & Air Conditioning, Inc. Pittsburgh, PA Instagram",,,,,May 2022,Heating System Repair or Maintenance,PA,Pittsburgh,15226,4128826080,info@carusoac.com,2022-05-13,Attempt,2021-07-16,6,Unsuccessful,2,,,,
0.1202,Pest Control Specialist,00Q3q00001YOc7dEAD,Prohealth Pest Control,,"2165 Sunnydale Blvd Suite E, Clearwater, FL",813-534-5799,HomeAdvisor,Edcelle Marie Parreno,5/10/2022,Edcelle Marie Parreno,"www.google.com/search?q=Prohealth Pest Control in Tampa, FL",https://www.prohealthpestcontrol.com/,true,117,4.9,1.0,"www.google.com/search?q=Prohealth Pest Control in Tampa, FL site:angi.com",,,,,"www.google.com/search?q=Prohealth Pest Control in Tampa, FL site:homeadvisor.com",https://www.homeadvisor.com/rated.SECPestControl.31427546.html,14,4.9,2021-11-12,"www.google.com/search?q=Prohealth Pest Control in Tampa, FL site:yelp.com",https://www.yelp.com/biz/prohealth-pest-control-clearwater,3,1,5.0,2019-08-21,"www.google.com/search?q=Prohealth Pest Control in Tampa, FL site:facebook.com",https://www.facebook.com/ProhealthOrganicPestControl/,34,4.8,2022-01-08,1577,1638,"www.google.com/search?q=Prohealth Pest Control Tampa, FL Instagram",,,,,May 2022,Pest Control Services,FL,Tampa,33765,7272605531,service@prohealthpestcontrol.com,2022-05-13,New,2022-05-20,3,New,3,,,,
0.0428,Handyman,00Q3q00001YOcWgEAL,Tom Moen Handyman Services- Unlicensed Contractor,,"4340 Stonehedge Way Sacramento, CA",,HomeAdvisor,Nhejy Chua,5/12/2022,Nhejy Chua,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor in Elk Grove, CA",,false,,,,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor in Elk Grove, CA site:angi.com",,,,,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor in Elk Grove, CA site:homeadvisor.com",https://www.homeadvisor.com/rated.TomMoenHandyman.20774640.html,7,4.43,2020-06-22,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor in Elk Grove, CA site:yelp.com",,,,,,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor in Elk Grove, CA site:facebook.com",,,,,,,"www.google.com/search?q=Tom Moen Handyman Services- Unlicensed Contractor Elk Grove, CA Instagram",,,,,June 2022,Handyman,CA,Elk Grove,95823,9164704427,,2022-06-03,Attempt,2022-05-26,3,Unsuccessful,3,,,,
0.0412,Landscaper,00Q3q00001aeQJTEA2,The Renaissance Man,,"Scottsdale, AZ",,HomeAdvisor,Nhejy Chua,5/31/2022,Nhejy Chua,"www.google.com/search?q=The Renaissance Man in Scottsdale, AZ",,false,,,,"www.google.com/search?q=The Renaissance Man in Scottsdale, AZ site:angi.com",,,,,"www.google.com/search?q=The Renaissance Man in Scottsdale, AZ site:homeadvisor.com",https://www.homeadvisor.com/rated.TheRenaissanceMan.76322920.html,1,5.0,2019-07-26,"www.google.com/search?q=The Renaissance Man in Scottsdale, AZ site:yelp.com",https://m.yelp.com/biz/the-renaissance-man-scottsdale,,1,,,"www.google.com/search?q=The Renaissance Man in Scottsdale, AZ site:facebook.com",https://www.facebook.com/renaissanceglenn/,,,,144,146,"www.google.com/search?q=The Renaissance Man Scottsdale, AZ Instagram",,,,,June 2022,Full Service Lawn Care,AZ,Scottsdale,85260,4808610933,,2022-06-03,Connection,2022-06-02,1,Unsuccessful,1,,,,
0.0768,Engineer and Technical Designer,00Q3q00001aeQIbEAM,Gaetz Architects Inc,,2358 Stinson Blvd.,,HomeAdvisor,Maricor Villaluz,5/31/2022,Maricor Villaluz,"www.google.com/search?q=Gaetz Architects Inc in Minneapolis, MN",,false,,,,"www.google.com/search?q=Gaetz Architects Inc in Minneapolis, MN site:angi.com",,,,,"www.google.com/search?q=Gaetz Architects Inc in Minneapolis, MN site:homeadvisor.com",https://www.homeadvisor.com/sp/gaetz-architects,,,,"www.google.com/search?q=Gaetz Architects Inc in Minneapolis, MN site:yelp.com",,,,,,"www.google.com/search?q=Gaetz Architects Inc in Minneapolis, MN site:facebook.com",,,,,,,"www.google.com/search?q=Gaetz Architects Inc Minneapolis, MN Instagram",,,,,June 2022,Architectural Services,MN,Minneapolis,55418,6127812844,,2022-06-03,Attempt,2022-07-04,2,Unsuccessful,2,,,,
0.0591,Mover,00Q3q00001aeQg1EAE,Junk-It Charlotte,,10850 Providence Rd 1077,,HomeAdvisor,Maricor Villaluz,6/1/2022,Maricor Villaluz,"www.google.com/search?q=Junk-It Charlotte in Charlotte, NC",https://www.junkitcharlotte.com/,true,,,,"www.google.com/search?q=Junk-It Charlotte in Charlotte, NC site:angi.com",,,,,"www.google.com/search?q=Junk-It Charlotte in Charlotte, NC site:homeadvisor.com",https://www.homeadvisor.com/rated.JunkItCharlotte.124346129.html,1,5.0,2022-04-05,"www.google.com/search?q=Junk-It Charlotte in Charlotte, NC site:yelp.com",https://www.yelp.com/biz/junk-it-charlotte-charlotte,,,,,"www.google.com/search?q=Junk-It Charlotte in Charlotte, NC site:facebook.com",,,,,,,"www.google.com/search?q=Junk-It Charlotte Charlotte, NC Instagram",,,,,June 2022,Junk Removal,NC,Charlotte,28277,9803055431,,2022-06-03,Connection,2022-06-08,2,Unsuccessful,2,,,,
0.0497,Paver,00Q3q00001YOcj7EAD,"Bea Landscaping
",,"1100 Walnut Ave
Baltimore, MD",,HomeAdvisor,Angela Pastidio,5/12/2022,Angela Pastidio,"www.google.com/search?q=Bea Landscaping
 in Baltimore, MD",,true,1,5.0,1.0,"www.google.com/search?q=Bea Landscaping
 in Baltimore, MD site:angi.com",,,,,"www.google.com/search?q=Bea Landscaping
 in Baltimore, MD site:homeadvisor.com",https://www.homeadvisor.com/rated.BeaLandscaping.124906357.html,1,5.0,2022-05-30,"www.google.com/search?q=Bea Landscaping
 in Baltimore, MD site:yelp.com",,,,,,"www.google.com/search?q=Bea Landscaping
 in Baltimore, MD site:facebook.com",,,,,,,"www.google.com/search?q=Bea Landscaping
 Baltimore, MD Instagram",,,,,June 2022,Concrete Installation,MD,Baltimore,21229,4435996546,tonyleiva8519@gmail.com,2022-06-03,New,2022-05-20,4,New,4,,,,
0.0593,Painter,00Q3q00001aeQlTEAU,K D & Son Painting,,"6590 Grant St Chino, CA,",,HomeAdvisor,Ruby Rachel de Castro,6/1/2022,Angela Pastidio,"www.google.com/search?q=K D & Son Painting in Riverside, CA",,false,,,,"www.google.com/search?q=K D & Son Painting in Riverside, CA site:angi.com",,,,,"www.google.com/search?q=K D & Son Painting in Riverside, CA site:homeadvisor.com",https://www.homeadvisor.com/sp/kdandsonpainting,,,,"www.google.com/search?q=K D & Son Painting in Riverside, CA site:yelp.com",,,,,,"www.google.com/search?q=K D & Son Painting in Riverside, CA site:facebook.com",,,,,,,"www.google.com/search?q=K D & Son Painting Riverside, CA Instagram",,,,,June 2022,Interior Painting,CA,Riverside,91710,9095911551,,2022-06-03,New,2022-06-03,2,New,2,,,,
0.0412,Landscaper,00Q3q00001afjswEAA,Bell Mowing & Landscaping,,"225 Settlers Bend McKinney, TX",,HomeAdvisor,Daisy Deza,6/7/2022,Daisy Deza,"www.google.com/search?q=Bell Mowing & Landscaping in Allen, TX",,true,,,,"www.google.com/search?q=Bell Mowing & Landscaping in Allen, TX site:angi.com",,,,,"www.google.com/search?q=Bell Mowing & Landscaping in Allen, TX site:homeadvisor.com",https://www.homeadvisor.com/rated.BELLMOWINGLANDSCAPING.31549560.html,,,,"www.google.com/search?q=Bell Mowing & Landscaping in Allen, TX site:yelp.com",https://www.yelp.com/biz/bell-mowing-and-landscaping-mckinney-2,,,,,"www.google.com/search?q=Bell Mowing & Landscaping in Allen, TX site:facebook.com",,,,,,,"www.google.com/search?q=Bell Mowing & Landscaping Allen, TX Instagram",,,,,June 2022,Outdoor Landscaping and Design,TX,Allen,75069,9722348133,,2022-06-17,Attempt,2022-06-16,1,Unsuccessful,1,,,,
0.0349,Cleaner,00Q3q00001Zv87rEAB,CA Window Cleaning,,410 Maddison Avenue Los Banos,,HomeAdvisor,Nhejy Chua,3/7/2022,Nhejy Chua,"www.google.com/search?q=CA Window Cleaning in San Jose, CA",http://www.cawindowclean.com/home.html,false,,,,"www.google.com/search?q=CA Window Cleaning in San Jose, CA site:angi.com",,,,,"www.google.com/search?q=CA Window Cleaning in San Jose, CA site:homeadvisor.com",https://www.homeadvisor.com/rated.CAWindowCleaning.8576153.html,335,4.9,2020-07-22,"www.google.com/search?q=CA Window Cleaning in San Jose, CA site:yelp.com",,,,,,"www.google.com/search?q=CA Window Cleaning in San Jose, CA site:facebook.com",https://www.facebook.com/johnnywindowssj/,9,5.0,2018-06-11,145,143,"www.google.com/search?q=CA Window Cleaning San Jose, CA Instagram",,,,,March 2022,House Cleaning,CA,San Jose,,4083181984,sumxam2020@comcast.net,2022-03-10,Connection,2022-06-05,18,Unsuccessful,18,,,,
0.1202,Pest Control Specialist,00Q3q00001Zv8YtEAJ,Four Peaks Pest Control,,"P.O. Box 12659, Chandler, AZ",,HomeAdvisor,Ruby Rachel de Castro,3/8/2022,Ruby Rachel de Castro,"www.google.com/search?q=Four Peaks Pest Control in Phoenix, AZ",,false,,,,"www.google.com/search?q=Four Peaks Pest Control in Phoenix, AZ site:angi.com",,,,,"www.google.com/search?q=Four Peaks Pest Control in Phoenix, AZ site:homeadvisor.com",https://www.homeadvisor.com/sp/four-peaks-pest-control,,,,"www.google.com/search?q=Four Peaks Pest Control in Phoenix, AZ site:yelp.com",https://www.yelp.com/biz/four-peaks-pest-control-chandler,2,1,5.0,2020-07-07,"www.google.com/search?q=Four Peaks Pest Control in Phoenix, AZ site:facebook.com",,,,,,,"www.google.com/search?q=Four Peaks Pest Control Phoenix, AZ Instagram",,,,,March 2022,Bed Bug Extermination,AZ,Phoenix,85248,4809076534,,2022-03-10,Attempt,2022-03-16,1,Unsuccessful,1,,,,
0.0412,Landscaper,00Q3q00001ZwlMiEAJ,Mountain Valley Landscaping & Illumination Outdoor Lighting,,"120 N. Perry Lane, Suite B, Tempe, AZ",,HomeAdvisor,Ruby Rachel de Castro,3/8/2022,Ruby Rachel de Castro,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting in Phoenix, AZ",,false,,,,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting in Phoenix, AZ site:angi.com",,,,,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting in Phoenix, AZ site:homeadvisor.com",https://www.homeadvisor.com/sp/mountain-valley-landscaping-illumination-outdoor-lighting,,,,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting in Phoenix, AZ site:yelp.com",,,,,,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting in Phoenix, AZ site:facebook.com",,,,,,,"www.google.com/search?q=Mountain Valley Landscaping & Illumination Outdoor Lighting Phoenix, AZ Instagram",,,,,March 2022,Full Service Lawn Care,AZ,Phoenix,85281,6022322588,,2022-03-10,Connection,2022-04-21,4,Unsuccessful,4,,,,
0.0634,"Floor, Carpet, and Tile Specialist",00Q3q00001Zv8JvEAJ,Red Rocks Carpet Cleaning & Upholstery Care,,P.O Box 270993 Littleton,,HomeAdvisor,Nhejy Chua,3/8/2022,Nhejy Chua,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care in Denver, CO",https://www.redrockscarpetcleaning.com/,true,255,5.0,0.5,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care in Denver, CO site:angi.com",,,,,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care in Denver, CO site:homeadvisor.com",https://www.homeadvisor.com/rated.RedRocksCarpetCleaning.107763332.html,35,5.0,2022-02-10,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care in Denver, CO site:yelp.com",https://www.yelp.com/biz/red-rocks-carpet-cleaning-and-upholstery-care-littleton,27,10,5.0,2022-03-06,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care in Denver, CO site:facebook.com",https://www.facebook.com/RedRocksCarpetCleaning/,5,5.0,2022-01-05,86,87,"www.google.com/search?q=Red Rocks Carpet Cleaning & Upholstery Care Denver, CO Instagram",,,,,March 2022,Tile Installation and Replacement,CO,Denver,,3039446070,info@redrockscarpetcleaning.com,2022-03-11,Connection,2022-03-23,2,Unsuccessful,2,,,,
0.0311,General Contractor,00Q3q00001Zv8SoEAJ,Wieland Construction,,"490 Hollow Road Killeen, TX",,HomeAdvisor,Sheryl Reyes,3/9/2022,Sheryl Reyes,"www.google.com/search?q=Wieland Construction in Austin, TX",,true,6,4.5,1.0,"www.google.com/search?q=Wieland Construction in Austin, TX site:angi.com",,,,,"www.google.com/search?q=Wieland Construction in Austin, TX site:homeadvisor.com",https://www.homeadvisor.com/rated.WielandConstruction.39786999.html,5,5.0,2021-11-08,"www.google.com/search?q=Wieland Construction in Austin, TX site:yelp.com",,,,,,"www.google.com/search?q=Wieland Construction in Austin, TX site:facebook.com",,,,,,,"www.google.com/search?q=Wieland Construction Austin, TX Instagram",,,,,March 2022,General Contracting,TX,Austin,,2545260810,,2022-03-11,Attempt,2022-03-23,2,Unsuccessful,2,,,,
0.0593,Painter,00Q3q00001Zv84JEAR,"Ace Painting Company, Inc.",,3596 Moline St # 113,,HomeAdvisor,Maricor Villaluz,3/8/2022,Maricor Villaluz,"www.google.com/search?q=Ace Painting Company, Inc. in Aurora, CO",,false,,,,"www.google.com/search?q=Ace Painting Company, Inc. in Aurora, CO site:angi.com",,,,,"www.google.com/search?q=Ace Painting Company, Inc. in Aurora, CO site:homeadvisor.com",https://www.homeadvisor.com/sp/ace-painting-company,1,5.0,2008-07-22,"www.google.com/search?q=Ace Painting Company, Inc. in Aurora, CO site:yelp.com",,,,,,"www.google.com/search?q=Ace Painting Company, Inc. in Aurora, CO site:facebook.com",,,,,,,"www.google.com/search?q=Ace Painting Company, Inc. Aurora, CO Instagram",,,,,March 2022,Exterior Painting,CO,Aurora,80010,3033445030,,2022-03-11,Attempt,2022-03-14,1,Unsuccessful,1,,,,
0.1168,Inspector and Restorer,00Q3q00001Zv8RfEAJ,Bactronix of Colorado,,1394 South Corona Street,,HomeAdvisor,Maricor Villaluz,3/9/2022,Maricor Villaluz,"www.google.com/search?q=Bactronix of Colorado in Denver, CO",https://bactronixco.com/,true,4,5.0,5.0,"www.google.com/search?q=Bactronix of Colorado in Denver, CO site:angi.com",,,,,"www.google.com/search?q=Bactronix of Colorado in Denver, CO site:homeadvisor.com",https://www.homeadvisor.com/rated.BactronixColorado.108458799.html,5,5.0,2022-02-05,"www.google.com/search?q=Bactronix of Colorado in Denver, CO site:yelp.com",https://www.yelp.com/biz/bactronix-colorado-denver,1,,5.0,2020-12-07,"www.google.com/search?q=Bactronix of Colorado in Denver, CO site:facebook.com",https://www.facebook.com/BactronixCO/,1,5.0,2021-09-15,95,100,"www.google.com/search?q=Bactronix of Colorado Denver, CO Instagram",,,,,March 2022,Mold Inspection and Removal,CO,Denver,80210,7202129466,,2022-03-11,Attempt,2022-03-23,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001Zv80KEAR,"Buffalo Homes, Inc.",,9024 Duckhorn Drive,,HomeAdvisor,Edcelle Marie Parreno,3/8/2022,Edcelle Marie Parreno,"www.google.com/search?q=Buffalo Homes, Inc. in Charlotte, NC",,true,,,,"www.google.com/search?q=Buffalo Homes, Inc. in Charlotte, NC site:angi.com",,,,,"www.google.com/search?q=Buffalo Homes, Inc. in Charlotte, NC site:homeadvisor.com",https://www.homeadvisor.com/sp/buffalo-homes,2,4.92,2010-10-12,"www.google.com/search?q=Buffalo Homes, Inc. in Charlotte, NC site:yelp.com",,,,,,"www.google.com/search?q=Buffalo Homes, Inc. in Charlotte, NC site:facebook.com",,,,,,,"www.google.com/search?q=Buffalo Homes, Inc. Charlotte, NC Instagram",,,,,March 2022,General Contracting,NC,Charlotte,,7042154089,,2022-03-11,Attempt,2022-03-20,2,Unsuccessful,2,,,,
0.0311,General Contractor,00Q3q00001ZwkyfEAB,PK Salt Construction,,"St. Paul, MN",,HomeAdvisor,Edcelle Marie Parreno,3/9/2022,Edcelle Marie Parreno,"www.google.com/search?q=PK Salt Construction in Minneapolis, MN",https://www.pksaltconstruction.com/,true,1,5.0,24.0,"www.google.com/search?q=PK Salt Construction in Minneapolis, MN site:angi.com",,,,,"www.google.com/search?q=PK Salt Construction in Minneapolis, MN site:homeadvisor.com",https://www.homeadvisor.com/rated.QualifyingAgent.87835609.html,3,5.0,2022-02-05,"www.google.com/search?q=PK Salt Construction in Minneapolis, MN site:yelp.com",,,,,,"www.google.com/search?q=PK Salt Construction in Minneapolis, MN site:facebook.com",https://www.facebook.com/PKSaltconstruction/,7,5.0,2020-08-27,372,380,"www.google.com/search?q=PK Salt Construction Minneapolis, MN Instagram",,,,,March 2022,General Contracting,MN,Minneapolis,,6512693987,kurt@pksaltconstruction.com,2022-03-11,Connection,2022-04-10,1,Unsuccessful,1,,,,
